Date,Close
2015/11/20,"8,465.45"
2015/11/19,"8,477.20"
2015/11/18,"8,340.47"
2015/11/17,"8,419.42"
2015/11/16,"8,295.40"
2015/11/13,"8,329.50"
2015/11/12,"8,428.09"
2015/11/11,"8,415.01"
2015/11/10,"8,536.90"
2015/11/9,"8,642.48"
2015/11/6,"8,693.57"
2015/11/5,"8,850.18"
2015/11/4,"8,857.02"
2015/11/3,"8,713.19"
2015/11/2,"8,614.77"
2015/10/30,"8,554.31"
2015/10/29,"8,571.08"
2015/10/28,"8,665.99"
2015/10/27,"8,701.32"
2015/10/26,"8,745.36"
2015/10/23,"8,673.81"
2015/10/22,"8,608.46"
2015/10/21,"8,609.23"
2015/10/20,"8,653.60"
2015/10/19,"8,631.50"
2015/10/16,"8,604.95"
2015/10/15,"8,601.52"
2015/10/14,"8,522.51"
2015/10/13,"8,567.92"
2015/10/12,"8,573.72"
2015/10/8,"8,445.96"
2015/10/7,"8,495.23"
2015/10/6,"8,394.10"
2015/10/5,"8,352.36"
2015/10/2,"8,305.03"
2015/10/1,"8,295.94"
2015/9/30,"8,181.24"
2015/9/25,"8,132.35"
2015/9/24,"8,123.10"
2015/9/23,"8,193.42"
2015/9/22,"8,365.92"
2015/9/21,"8,307.04"
2015/9/18,"8,462.14"
2015/9/17,"8,445.50"
2015/9/16,"8,333.29"
2015/9/15,"8,259.99"
2015/9/14,"8,307.29"
2015/9/11,"8,305.82"
2015/9/10,"8,268.68"
2015/9/9,"8,286.92"
2015/9/8,"8,001.50"
2015/9/7,"7,986.56"
2015/9/4,"8,000.60"
2015/9/3,"8,095.95"
2015/9/2,"8,035.29"
2015/9/1,"8,017.56"
2015/8/31,"8,174.92"
2015/8/28,"8,019.18"
2015/8/27,"7,824.55"
2015/8/26,"7,715.59"
2015/8/25,"7,675.64"
2015/8/24,"7,410.34"
2015/8/21,"7,786.92"
2015/8/20,"8,029.81"
2015/8/19,"8,021.84"
2015/8/18,"8,177.22"
2015/8/17,"8,213.42"
2015/8/14,"8,305.64"
2015/8/13,"8,311.74"
2015/8/12,"8,283.38"
2015/8/11,"8,394.14"
2015/8/10,"8,466.84"
2015/8/7,"8,442.29"
2015/8/6,"8,449.56"
2015/8/5,"8,542.27"
2015/8/4,"8,510.86"
2015/8/3,"8,524.41"
2015/7/31,"8,665.34"
2015/7/30,"8,651.49"
2015/7/29,"8,563.48"
2015/7/28,"8,582.49"
2015/7/27,"8,556.68"
2015/7/24,"8,767.86"
2015/7/23,"8,791.12"
2015/7/22,"8,918.70"
2015/7/21,"9,005.96"
2015/7/20,"8,975.00"
2015/7/17,"9,045.98"
2015/7/16,"9,042.21"
2015/7/15,"9,054.20"
2015/7/14,"9,041.76"
2015/7/13,"9,033.92"
2015/7/9,"8,914.13"
2015/7/8,"8,976.11"
2015/7/7,"9,250.16"
2015/7/6,"9,255.96"
2015/7/3,"9,358.23"
2015/7/2,"9,379.24"
2015/7/1,"9,375.23"
2015/6/30,"9,323.02"
2015/6/29,"9,236.10"
2015/6/26,"9,462.57"
2015/6/25,"9,476.34"
2015/6/24,"9,397.31"
2015/6/23,"9,391.14"
2015/6/22,"9,341.77"
2015/6/18,"9,218.37"
2015/6/17,"9,189.83"
2015/6/16,"9,212.78"
2015/6/15,"9,259.48"
2015/6/12,"9,301.93"
2015/6/11,"9,302.49"
2015/6/10,"9,298.50"
2015/6/9,"9,191.87"
2015/6/8,"9,368.43"
2015/6/5,"9,340.13"
2015/6/4,"9,348.63"
2015/6/3,"9,556.52"
2015/6/2,"9,614.26"
2015/6/1,"9,625.69"
2015/5/29,"9,701.07"
2015/5/28,"9,712.84"
2015/5/27,"9,693.54"
2015/5/26,"9,669.41"
2015/5/25,"9,645.17"
2015/5/22,"9,638.80"
2015/5/21,"9,578.56"
2015/5/20,"9,685.31"
2015/5/19,"9,716.77"
2015/5/18,"9,606.10"
2015/5/15,"9,579.48"
2015/5/14,"9,610.83"
2015/5/13,"9,724.11"
2015/5/12,"9,680.73"
2015/5/11,"9,663.72"
2015/5/8,"9,692.00"
2015/5/7,"9,704.11"
2015/5/6,"9,818.20"
2015/5/5,"9,820.13"
2015/5/4,"9,845.04"
2015/4/30,"9,820.05"
2015/4/29,"9,853.83"
2015/4/28,"9,956.83"
2015/4/27,"9,973.12"
2015/4/24,"9,913.28"
2015/4/23,"9,797.49"
