Date,2330,2317,2412,1301,1303,1326,2454,2308,2882,2881,MA12_2330,MA26_2330,DIF_2330,MACD_2330,buff_2330,signal_2330,MA12_2317,MA26_2317,DIF_2317,MACD_2317,buff_2317,signal_2317,MA12_2412,MA26_2412,DIF_2412,MACD_2412,buff_2412,signal_2412,MA12_1301,MA26_1301,DIF_1301,MACD_1301,buff_1301,signal_1301,MA12_1303,MA26_1303,DIF_1303,MACD_1303,buff_1303,signal_1303,MA12_1326,MA26_1326,DIF_1326,MACD_1326,buff_1326,signal_1326,MA12_2454,MA26_2454,DIF_2454,MACD_2454,buff_2454,signal_2454,MA12_2308,MA26_2308,DIF_2308,MACD_2308,buff_2308,signal_2308,MA12_2882,MA26_2882,DIF_2882,MACD_2882,buff_2882,signal_2882,MA12_2881,MA26_2881,DIF_2881,MACD_2881,buff_2881,signal_2881
2011-12-21,76.0,90.75018,101.5,83.9,57.0999,81.9,268.5,68.0971,29.8033,29.95,74.45,74.40384615384616,0.0461538461538,,0.0,,88.45854416666664,87.80560923076925,0.652934935897,,0.0,,100.91666666666669,100.8153846153846,0.101282051282,,0.0,,83.95833333333336,82.50384230769234,1.45449102564,,0.0,,57.166650000000004,57.90768461538461,-0.741034615385,,0.0,,80.53333333333333,80.09616538461538,0.437167948718,,0.0,,259.5416666666667,275.3076923076923,-15.766025641,,0.0,,64.60748333333335,65.89209615384614,-1.28461282051,,0.0,,30.180549999999993,30.710323076923075,-0.529773076923,,0.0,,30.233333333333324,30.7423,-0.508966666667,,0.0,
2011-12-22,75.0,90.2003,101.0,84.3999,57.4,81.9,268.0,68.4959,30.9974,30.6,74.41666666666667,74.38846153846154,0.0282051282051,,0.0,,88.64188833333331,87.80560923076925,0.836279102564,,0.0,,101.00000000000001,100.77692307692307,0.223076923077,,0.0,,84.14165833333335,82.38460769230771,1.75705064103,,0.0,,57.28331666666667,57.5846076923077,-0.301291025641,,0.0,,80.89166666666667,79.92308846153846,0.968578205128,,0.0,,260.0416666666667,273.84615384615387,-13.8044871795,,0.0,,64.96475000000001,65.82307307692305,-0.858323076923,,0.0,,30.16811666666666,30.66248461538461,-0.494367948718,,0.0,,30.158333333333328,30.726915384615385,-0.568582051282,,0.0,
2011-12-23,75.4,91.19017,100.5,85.1,58.8,82.7,281.5,70.4899,33.1368,32.45,74.33333333333333,74.37692307692308,-0.0435897435897,,0.0,,88.78855333333331,87.84791346153847,0.940639871795,,0.0,,100.91666666666669,100.66153846153846,0.255128205128,,0.0,,84.14999166666668,82.38076153846156,1.76923012821,,0.0,,57.26665,57.34229615384615,-0.0756461538462,,0.0,,81.03333333333332,79.82693076923076,1.2064025641,,0.0,,261.5416666666667,272.8076923076923,-11.266025641,,0.0,,65.43002500000001,65.82690769230767,-0.396882692308,,0.0,,30.288358333333324,30.71606538461538,-0.427707051282,,0.0,,30.204166666666662,30.78845384615385,-0.584287179487,,0.0,
2011-12-26,75.0,90.75018,99.7,85.0,59.8,82.7,281.0,71.3873,33.1368,32.45,74.22500000000001,74.40769230769232,-0.182692307692,,0.0,,88.8710558333333,87.94945076923078,0.921605064103,,0.0,,100.7666666666667,100.57307692307691,0.19358974359,,0.0,,84.14999166666668,82.56153076923079,1.58846089744,,0.0,,57.31664999999999,57.2923,0.02435,,0.0,,81.15833333333332,79.93077692307689,1.22755641026,,0.0,,263.5416666666667,271.7692307692308,-8.22756410256,,0.0,,65.97839166666667,65.86525769230767,0.113133974359,,0.0,,30.454208333333327,30.788784615384614,-0.334576282051,,0.0,,30.29166666666666,30.83845384615385,-0.546787179487,,0.0,
2011-12-27,75.5,90.42022,100.5,85.2,60.4,83.2,279.0,71.1879,32.8881,31.9,74.34166666666667,74.4923076923077,-0.150641025641,,0.0,,89.1002233333333,88.11867961538464,0.981543717949,,0.0,,100.72500000000002,100.59230769230768,0.132692307692,,0.0,,84.16665833333336,82.83076153846156,1.33589679487,,0.0,,57.59165833333332,57.32691538461539,0.264742948718,,0.0,,81.34166666666665,80.1307769230769,1.21088974359,,0.0,,265.125,270.9230769230769,-5.79807692308,,0.0,,66.56830000000001,65.91894615384614,0.649353846154,,0.0,,30.603483333333326,30.88638076923077,-0.282897435897,,0.0,,30.370833333333326,30.878838461538464,-0.508005128205,,0.0,
2011-12-28,75.7,90.75018,100.0,82.8,60.4,80.8,275.5,69.4929,32.689,31.9,74.4,74.55769230769232,-0.157692307692,,0.0,,89.15521666666665,88.32598653846155,0.829230128205,,0.0,,100.60000000000002,100.57307692307691,0.0269230769231,,0.0,,83.93332500000001,82.97306923076926,0.960255769231,,0.0,,57.724991666666654,57.369223076923085,0.355768589744,,0.0,,81.28333333333332,80.21539230769228,1.06794102564,,0.0,,266.3333333333333,270.40384615384613,-4.07051282051,,0.0,,66.9588,66.0263192307692,0.932480769231,,0.0,,30.740308333333328,30.96866923076923,-0.228360897436,,0.0,,30.454166666666662,30.92114615384616,-0.466979487179,,0.0,
2011-12-29,75.8,91.19017,100.5,80.8,59.7,79.7,277.5,71.6864,32.5895,32.05,74.45,74.65,-0.2,,0.0,,89.28354166666664,88.65175307692309,0.631788589744,,0.0,,100.55833333333335,100.59230769230768,-0.0339743589743,,0.0,,83.59165833333336,83.0538384615385,0.537819871795,,0.0,,57.791658333333324,57.507684615384626,0.283973717949,,0.0,,81.24999999999999,80.30769615384612,0.942303846154,,0.0,,267.0416666666667,270.15384615384613,-3.11217948718,,0.0,,67.59856666666667,66.32159615384613,1.27697051282,,0.0,,30.918591666666657,31.08157307692308,-0.162981410256,,0.0,,30.599999999999994,30.98845384615385,-0.388453846154,,0.0,
2011-12-30,75.8,91.19017,100.0,80.8,60.1001,79.9,277.5,71.7861,32.5397,32.05,74.55833333333332,74.76538461538462,-0.207051282051,,0.0,,89.37520083333332,88.94367384615384,0.431526987179,,0.0,,100.47500000000002,100.57307692307691,-0.0980769230769,,0.0,,83.2249916666667,83.09230000000004,0.132691666667,,0.0,,57.908333333333324,57.57307307692309,0.33526025641,,0.0,,81.15833333333332,80.36154230769229,0.796791025641,,0.0,,267.875,270.3076923076923,-2.43269230769,,0.0,,68.17185833333333,66.55934999999998,1.61250833333,,0.0,,31.092724999999987,31.14089230769231,-0.0481673076923,,0.0,,30.737499999999997,31.023069230769234,-0.285569230769,,0.0,
2012-01-02,75.8,91.19017,100.0,80.8,60.1001,79.9,277.5,71.7861,32.5397,32.05,74.83333333333333,74.92692307692309,-0.0935897435898,-0.10676638176628889,1.0,buy,89.7510325,89.24828538461537,0.502747115385,0.7475883903134444,0.0,,100.47500000000002,100.59230769230768,-0.117307692308,0.0759259259258778,0.0,,83.07499166666669,83.18845384615389,-0.113462179487,1.0469371794884443,0.0,,58.208341666666655,57.742307692307705,0.466033974359,0.06801752136753333,1.0,buy,81.10833333333333,80.50384999999999,0.604483333333,0.9402349002848889,0.0,,269.625,270.46153846153845,-0.836538461538,-7.257122507117556,1.0,buy,68.83655,66.75108846153844,2.08546153846,0.4588989316236667,1.0,buy,31.333199999999987,31.22126153846154,0.111938461538,-0.26632143874636666,1.0,buy,30.916666666666668,31.084607692307692,-0.167941025641,-0.4472857549856667,1.0,buy
2012-01-03,75.8,91.19017,100.0,80.8,60.1001,79.9,277.5,71.7861,32.5397,32.05,75.09166666666665,75.01153846153846,0.0801282051282,-0.10299145299135555,1.0,,90.01686583333333,89.45982423076921,0.557041602564,0.7369335754986666,0.0,,100.43333333333335,100.59230769230768,-0.158974358974,0.047008547008544455,0.0,,82.8999916666667,83.1961461538462,-0.29615448718,0.8524210113973332,0.0,,58.59168333333332,57.90769615384617,0.683987179487,0.22635327635331112,1.0,,81.05833333333334,80.60384615384615,0.454487179487,0.9421592592592221,0.0,,271.5,270.3269230769231,1.17307692308,-5.374999999997556,1.0,,69.468,66.91981923076922,2.54818076923,0.8847648860392222,1.0,,31.573674999999984,31.271015384615392,0.302659615385,-0.17382891737881112,1.0,,31.129166666666666,31.124992307692306,0.00417435897436,-0.39027008546996,1.0,
2012-01-04,75.8,91.19017,100.0,80.8,60.1001,79.9,277.5,71.7861,32.5397,32.05,75.36666666666665,75.09615384615385,0.270512820513,-0.07606837606825556,1.0,,90.48435666666667,89.61212999999998,0.872226666667,0.7409277492878888,1.0,buy,100.3916666666667,100.6076923076923,-0.216025641026,-0.0017806267806777674,0.0,,82.68332500000004,83.16922307692313,-0.485898076923,0.6032044871803331,0.0,,59.02502499999999,58.05385384615386,0.971171153846,0.3677379629629778,1.0,,81.00833333333334,80.68846153846154,0.319871794872,0.8700807692307777,0.0,,274.3333333333333,270.13461538461536,4.19871794872,-3.3746438746397778,1.0,,70.17423333333335,67.07320769230768,3.10102564103,1.3246925213673333,1.0,,31.93854166666665,31.31693846153847,0.621603205128,-0.049832122507033325,1.0,,31.458333333333332,31.148069230769224,0.310264102564,-0.29262051282040447,1.0,
2012-01-05,75.8,91.19017,100.0,80.8,60.1001,79.9,277.5,71.7861,32.5397,32.05,75.61666666666665,75.1423076923077,0.474358974359,-0.018518518518400008,1.0,,90.93352083333336,89.74751307692304,1.18600775641,0.7681908475784444,1.0,,100.30833333333335,100.62307692307692,-0.314743589744,-0.06509971509978889,0.0,,82.59999166666671,83.2230692307693,-0.623077564103,0.33739252136777753,0.0,,59.50836666666666,58.24231923076923,1.2660474359,0.5168150284903333,1.0,,81.03333333333335,80.78461538461539,0.248717948718,0.7636713675216665,0.0,,276.5416666666667,270.0576923076923,6.48397435897,-1.4024216524208883,1.0,,70.81399166666668,67.34163846153845,3.47235320513,1.7546076210826667,1.0,,32.32828333333332,31.401134615384628,0.927148717949,0.10070740740752222,1.0,,31.795833333333334,31.211530769230762,0.584302564103,-0.1627772079770711,1.0,
2012-01-06,75.6,92.29024,99.9,81.9,61.6,82.3,278.5,73.7801,32.1417,32.3,75.58333333333331,75.10384615384616,0.479487179487,0.05505698005704443,1.0,,91.0618591666667,89.79404961538458,1.26780955128,0.8066580128203333,1.0,,100.17500000000003,100.56153846153846,-0.386538461538,-0.12955840455845555,0.0,,82.43332500000005,83.21153076923085,-0.778205769231,0.0744295584043331,0.0,,59.883374999999994,58.38847307692308,1.49490192308,0.6802096866103332,1.0,,81.06666666666669,80.8269230769231,0.239743589744,0.6539143874643333,0.0,,277.375,269.71153846153845,7.66346153846,0.3632478632480005,1.0,,71.28757500000002,67.63307692307691,3.65449807692,2.1480925213672224,1.0,,32.52314999999999,31.389650000000014,1.1335,0.2638269943020778,1.0,,31.99166666666667,31.203842307692298,0.787824358974,-0.014487037036959983,1.0,
2012-01-09,75.6,92.73023,99.0,82.1,62.0,82.1,267.0,73.9795,31.5446,32.0,75.63333333333331,75.08846153846154,0.544871794872,0.13233618233626665,1.0,,91.27268666666669,89.8998188461538,1.37286782051,0.8501384686604445,1.0,,100.00833333333337,100.48461538461538,-0.476282051282,-0.19722222222223332,0.0,,82.24166666666672,83.19999230769237,-0.958325641026,-0.18048404558411135,0.0,,60.26670833333333,58.61539615384616,1.65131217949,0.8342729344738888,1.0,,81.08333333333336,80.86153846153849,0.221794871795,0.5440149572648888,0.0,,277.2916666666667,268.86538461538464,8.42628205128,1.943732193732445,1.0,,71.74454166666669,68.02805384615382,3.71648782051,2.4888851851845555,1.0,,32.56874999999999,31.374334615384626,1.19441538462,0.42797286324841116,1.0,,32.108333333333334,31.184615384615373,0.923717948718,0.14459330484337332,1.0,
